frame,face_r_mean,face_g_mean,face_b_mean,ref_r_mean,ref_g_mean,ref_b_mean
334,186.1714008502381,141.046073712834,127.23327928917031,197.6215309052557,191.85003502775277,191.31029969899228
335,186.18197137787084,140.8790517164341,127.28551914312341,197.84302177879397,191.75370485846477,191.25715759409377
336,186.13481252633056,140.7804828228926,127.36444064291277,197.7277535277951,191.78345150388384,191.38644464460305
337,185.99719140570144,140.71901290676743,127.43331503491594,197.50825654172152,191.77946372895448,191.37077068754473
338,186.02179213848922,140.6320869132272,127.51433021409149,197.6112458332371,191.74246518395344,191.46617704796878
339,185.994012587609,140.64241488044325,127.44177911682476,197.32277111865554,191.95449471504347,191.425059855116
340,186.0366393892584,140.67209661564388,127.63116773691131,197.30384843375904,191.9485669414998,191.55190651054298
341,185.98603362653355,140.65962390369074,127.6409084525922,197.22885824922824,191.9196132320223,191.59451719439247
342,185.98719536326615,140.68749281893503,127.49938083262055,197.1197333271746,191.97364835215595,191.3338722218373
343,186.11858651108756,140.7218853327546,127.3077198044197,197.91340831581945,191.7450364519581,191.29358645696206
344,186.17469456537003,140.78488720940624,127.27632737996451,197.97708184176693,191.7757761919059,191.21417738669868
345,186.16561769925062,140.77809551773882,127.33999310617763,197.948536147871,191.79630014549988,191.30511867094697
346,186.06261888652003,140.80388351993463,127.30035362755487,197.80863299383358,191.81484560844362,191.42266565047692
347,186.11696518619704,140.86318315864727,127.09661564387024,197.79196594224655,191.72719924247673,191.1606195678114
348,186.01563876370784,140.85053171796608,127.28159987744316,197.70608251152836,191.76473667598174,191.17715574647605
349,186.07797679079803,140.91966143672366,126.96881183694833,197.53055882737863,191.8305657559451,191.1744843991778
350,186.04832058827284,140.8954564604052,127.06200610230943,197.41334287935825,191.86403073204153,191.14396791303878
351,186.08305779321086,140.9439302447307,127.0345967752231,197.38107115637774,191.81754005096346,191.29188510897094
352,186.13425080747086,140.94487495372204,127.17460520100599,197.2859419386129,191.85725613370593,191.20480842513683
