frame,face_r_mean,face_g_mean,face_b_mean,ref_r_mean,ref_g_mean,ref_b_mean
50,136.56574671899398,89.76437945731527,75.76043381018694,195.313298791019,190.58959062689632,187.42788591700509
51,136.5217960079335,89.73981938642022,75.71475292231084,195.29066890724923,190.59070158241144,187.4052000186715
52,136.706207536819,89.90513567118201,75.92572899523147,195.30490594221163,190.60319283013584,187.43702562666294
53,136.69972992361903,89.88899438747521,75.89458581255012,195.31967511553003,190.59473463100406,187.4098398917052
54,136.39118875807065,89.74431362619741,75.58252099421868,195.19443588666385,190.62453437893853,187.2814731830276
55,136.43330379372915,89.78758914630544,75.60539308773262,195.2099332493115,190.60248331232788,187.3156047238949
56,136.62718909566613,89.98191754230493,75.81928092163565,195.2226952340942,190.6081967978341,187.32570601689773
57,136.76117230029118,90.1371059627801,75.9369540448158,195.221612285861,190.61149232133687,187.3471035802642
58,136.81463898383763,90.18953876018061,75.92184664725492,195.24178686458478,190.597899453858,187.34059655510433
59,136.79712621850868,90.19156433303793,75.95516310081445,195.2325164542781,190.60314615133268,187.3188535685945
60,136.77655399417648,90.17721652529856,75.91180318183736,195.23262848340568,190.5649068757877,187.2862530924707
61,136.6645566949403,90.04215723509304,75.78064733932565,195.26940204453157,190.55957615646736,187.2933669420716
62,136.5764442756467,89.94906528252521,75.70743132042031,195.27603043457967,190.55878261681372,187.30460719787143
63,136.61512005739124,89.94573152719754,75.79718951766047,195.26627456472016,190.56608318162722,187.30746394062456
64,136.62908807021986,89.92893615225556,75.84095033126556,195.2578537086309,190.58463333800123,187.38526816972413
65,136.69031944971937,89.9257078955142,75.85306156897498,195.24601596415067,190.59415581384494,187.3866685338188
66,136.71994345275775,89.92357682407055,75.89958644554163,195.2528964197358,190.6113802922093,187.35549642907156
67,136.81288770730472,89.987762163987,75.93454867704773,195.2748447929795,190.61769126639592,187.42169630770667
68,136.7361691353336,89.91047389964974,75.86363252732413,195.2827615179947,190.62201372356813,187.4042944498903
69,136.61313668396843,89.84105582985188,75.76545554289572,195.27827101713112,190.61727115716752,187.3694067124119
70,136.64442756467062,89.74893446427818,75.76009621471073,195.28507678663118,190.60904635205154,187.40233394015777
71,136.62613410980293,89.69544668101447,75.7587669325231,195.30442981841946,190.600354758904,187.39748868039024
72,136.27955015402793,89.25697345655568,75.5361227159556,195.15245297110582,190.51686505158008,187.2393315595388
73,136.3147022829894,89.320589104106,75.57724606490272,195.17264622135087,190.5237735144471,187.3031881622555
74,136.57671857197113,89.60549858631894,75.78701945393932,195.17919992531392,190.49689585959015,187.28626242823134
75,136.7772924842807,89.78606996666245,75.926172089294,195.16831442841806,190.51635158474537,187.25603323530785
76,136.94927627969784,89.97584082373297,76.09805038612483,195.1820193250245,190.49992998179528,187.28831629557018
77,136.9944085749251,90.04458370257838,76.19637506857408,195.19295150072352,190.49013676889325,187.29581291135696
78,136.8855129341267,89.96647254926783,76.0814027092037,195.21084815385333,190.4816318909583,187.25185081454512
